名次,昵称,组别,总分,最后提交时间
1,intlsy # Kiana Kaslana,,5376,2024-10-19 11:58:03
2,RichardK #做不出 web,,5338,2024-10-19 03:12:43
3,Lost-MSth,,5250,2024-10-18 18:00:44
4,kinami # 关注谜协谢谢喵,,5212,2024-10-19 06:56:54
5,Lysithea #明年坐校外那桌了/お幸せに,,5212,2024-10-19 11:25:47
6,我褪色了 #明年再来,,4595,2024-10-18 14:43:17
7,k0a1a,,4442,2024-10-19 10:54:35
8,Flag🚩Say🎤Maybe,,4110,2024-10-19 11:52:48
9,Xzonn #ReFantazio,,4100,2024-10-18 11:55:05
10,情緒ちゃん大好き🥰 # b23.tv/5DSEYsw,,4096,2024-10-19 06:30:14
11,BlueG #And Revive The Flag,（新生）,4054,2024-10-18 19:17:41
12,1111,,4014,2024-10-18 17:20:44
13,Marvin #不会逆向,,3852,2024-10-18 20:25:25
14,dblark # Am I only fallin' down,（新生）,3827,2024-10-19 11:52:13
15,BOTwAn #爱城华恋喜欢神乐光🎵,,3789,2024-10-19 04:16:37
16,stuuupidcat,,3764,2024-10-19 11:54:20
17,000lbh #遗憾错失二等奖,,3753,2024-10-19 11:50:54
18,ajguthahbzzb,,3736,2024-10-19 11:50:13
19,fw #fw,,3514,2024-10-19 07:47:12
20,zyy,,3297,2024-10-18 21:50:06
21,哦那是真的牛逼,,2938,2024-10-17 11:11:57
22,Cinnabar #梦想AK MISC #熬不动了,,2773,2024-10-18 20:43:58
23,ooooohhhhhh,,2666,2024-10-18 02:47:02
24,# #BEYOND THE MEMORIES,,2579,2024-10-19 03:00:39
25,----之前的优胜奖线---- #真的不会Dinic😭,,2538,2024-10-19 11:53:10
26,land-forest,,2531,2024-10-18 00:12:50
27,wofiery,（新生）,2517,2024-10-19 08:18:45
28,一只鸭梨 #希望下次不再是萌新形态,,2515,2024-10-19 00:15:13
29,神里绫华,,2509,2024-10-19 11:51:27
30,Varadarajan,,2462,2024-10-19 00:11:47
31,pthsm #第二次优胜奖第一名,,2379,2024-10-18 13:04:20
32,SeaMan,,2350,2024-10-18 21:03:22
33,lyazj,,2275,2024-10-18 04:30:50
34,poco_scherzoso # 明年校外再见 ! ,,2239,2024-10-19 11:01:46
35,tricyzhkx,（新生）,2203,2024-10-19 01:02:35
36,Shameimaru Aya,,2147,2024-10-18 10:13:59
37,Xtzzzz #b50有白阳炎 #别卷了我服了,,2024,2024-10-17 16:39:23
38,RayW,,2006,2024-10-17 23:49:30
39,新世纪GPT战士 #战不了一点,,1979,2024-10-18 01:14:20
40,kunyi #到此一游,（新生）,1959,2024-10-17 22:45:13
41,认真了喵 #别卷了喵,,1781,2024-10-19 11:00:27
42,syksykCCC,,1771,2024-10-19 10:28:53
43,keyijing,（新生）,1764,2024-10-17 01:37:27
44,en,,1762,2024-10-17 01:41:14
45,leason,,1751,2024-10-19 03:39:30
46,flag 在风中飘扬 #这也屯 #{Bε🚩61},,1748,2024-10-18 20:01:22
47,poppy,,1728,2024-10-18 20:58:26
48,flag{YjIzLnR2L3JxVlBoM3M=},,1709,2024-10-18 23:11:57
49,-----可能是优胜奖线----- #关注谜协谢谢喵,,1700,2024-10-19 01:08:18
50,--------------就是优胜奖线--------------,（新生）,1630,2024-10-19 08:26:57
51,Sakura,,1615,2024-10-15 12:48:40
52,o(=•ェ•=)m #毫无正反馈，不响丸辣,,1552,2024-10-17 01:45:55
53,mmaayyaa #上榜咯,,1382,2024-10-18 01:35:31
54,旧馆长洲,,1363,2024-10-17 16:27:35
55,山里灵活的狗 #蜿蜒山弯的，远甚，岂动！,,1358,2024-10-14 21:20:37
56,Iris,,1299,2024-10-18 16:02:53
57,violet # 第一次打还是太难前50了,,1249,2024-10-18 22:44:48
58,anonymous,,1143,2024-10-15 18:47:04
59,jqwcsclr,,1101,2024-10-19 11:42:04
60,小林,,1092,2024-10-15 23:35:56
61,开摆,,1084,2024-10-18 00:58:14
62,小开心,,955,2024-10-18 22:08:06
63,wwwu #电脑坏了,,947,2024-10-17 21:43:56
64,Rin_Shiina #荆棘之路通向何方,,935,2024-10-16 15:05:22
65,william_marci #动画大手子,,931,2024-10-16 21:20:18
66,Wu_Ren #玩游戏王喵，玩中二谢谢喵,,927,2024-10-13 19:02:40
67,Otohime Saiko! #想成为50名线---------,,927,2024-10-18 21:11:13
68,catburg_zxh,,924,2024-10-19 00:57:32
69,Alan,,913,2024-10-13 11:40:12
70,绝顶我为峰,（新生）,883,2024-10-18 22:46:30
71,Drzad,,862,2024-10-17 16:11:08
72,xay5421,,859,2024-10-15 17:50:44
73,Liyuu_(@liyu0109) # 只会做一半,,828,2024-10-19 02:46:48
74,应该起什么名来着,,819,2024-10-14 16:45:08
75,hosilite #我的足迹，你的未来,,816,2024-10-17 20:59:46
76,type theory,,784,2024-10-18 00:32:32
77,不适宜内容可能,,772,2024-10-18 11:06:07
78,ex咖喱棒,（新生）,763,2024-10-13 14:32:29
79,瘦枝红透 徒留人间 艳色依旧 #月花愁色,,738,2024-10-16 19:25:33
80,wwwwwwwwww,（新生）,725,2024-10-12 23:00:49
81,rizoziq #test,,709,2024-10-19 01:25:21
82,你要是犬娘就好了就好了就好了就好了就好了,,680,2024-10-12 23:16:21
83,活着就好,,641,2024-10-15 18:49:59
84,Hpro,,640,2024-10-18 22:42:31
85,jahoo,,638,2024-10-13 16:28:50
86,Guroshi,,614,2024-10-13 11:18:51
87,csw,,614,2024-10-13 16:07:21
88,LuSt,,612,2024-10-13 11:47:43
89,飞得更高,,603,2024-10-17 12:34:23
90,雏鹰飞天 #欢迎关注2024osu世界杯,,595,2024-10-18 17:43:44
91,冻鳗高手,,584,2024-10-17 22:44:23
92,cczzyy,,549,2024-10-13 16:08:46
93,+~Miao,,549,2024-10-17 21:58:42
94,ludan0414,,538,2024-10-14 19:33:17
95,nsddds,,505,2024-10-14 10:56:08
96,bluesnow,,505,2024-10-16 17:45:21
97,水帝WaterKing #不会做,,498,2024-10-13 18:49:48
98,H,,491,2024-10-15 21:48:23
99,yyyw,,489,2024-10-17 19:19:31
100,ExRyzeal,,461,2024-10-12 21:54:30
